epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.919,0.81325,1.72197,1.09878,0.97033,0.98713,0.9832,0.855,0.55786,0.49839,0.90892,0.000332479,0.000332479,0.000332479
2,238.892,0.7062,0.82093,1.00532,0.98022,0.98133,0.9886,0.85635,0.56618,0.51096,0.90948,0.00065922,0.00065922,0.00065922
3,355.17,0.68341,0.61711,0.99438,0.98391,0.98563,0.99075,0.8716,0.53414,0.36601,0.88776,0.000979362,0.000979362,0.000979362
4,471.758,0.67438,0.53986,0.98791,0.96535,0.97154,0.98729,0.86852,0.53702,0.38416,0.88393,0.0009703,0.0009703,0.0009703
5,587.924,0.65334,0.48755,0.97927,0.99452,0.99051,0.99135,0.87739,0.52256,0.29771,0.8922,0.0009604,0.0009604,0.0009604
6,703.479,0.63108,0.44019,0.96752,0.99073,0.98952,0.99067,0.88645,0.50604,0.2767,0.87117,0.0009505,0.0009505,0.0009505
7,819.51,0.62103,0.41667,0.96188,0.99578,0.9922,0.99188,0.89042,0.49809,0.27309,0.86339,0.0009406,0.0009406,0.0009406
8,935.36,0.60784,0.39625,0.95647,0.99438,0.99352,0.99249,0.89694,0.48343,0.26406,0.86149,0.0009307,0.0009307,0.0009307
9,1051.59,0.59743,0.38122,0.95261,0.99309,0.99297,0.99245,0.89823,0.48553,0.2578,0.86236,0.0009208,0.0009208,0.0009208
10,1168.41,0.59559,0.37405,0.95306,0.99494,0.99415,0.99251,0.90599,0.4683,0.2379,0.85436,0.0009109,0.0009109,0.0009109
11,1284.87,0.58924,0.36552,0.95019,0.99489,0.99415,0.99228,0.89906,0.47992,0.24176,0.86164,0.000901,0.000901,0.000901
12,1400.96,0.58006,0.35069,0.94502,0.99519,0.99311,0.99255,0.90397,0.47114,0.23823,0.85807,0.0008911,0.0008911,0.0008911
13,3745.49,0.5765,0.34382,0.94521,0.99488,0.99317,0.99249,0.90185,0.47696,0.23354,0.85925,0.0008812,0.0008812,0.0008812
14,3861.89,0.56728,0.3404,0.94106,0.99335,0.99293,0.99218,0.90701,0.46274,0.23051,0.84911,0.0008713,0.0008713,0.0008713
15,3978.68,0.56989,0.33495,0.93825,0.99566,0.99415,0.99256,0.9087,0.45629,0.2186,0.84774,0.0008614,0.0008614,0.0008614
16,4094.6,0.55732,0.32579,0.93697,0.99623,0.99415,0.99219,0.90272,0.46634,0.23346,0.85299,0.0008515,0.0008515,0.0008515
17,4210.66,0.55981,0.32177,0.93506,0.99744,0.99415,0.9926,0.90833,0.45412,0.21107,0.84984,0.0008416,0.0008416,0.0008416
18,4326.28,0.55433,0.31623,0.93573,0.99646,0.99415,0.99315,0.91271,0.44811,0.2105,0.84598,0.0008317,0.0008317,0.0008317
19,5023.96,0.55119,0.31563,0.93282,0.99537,0.99415,0.99021,0.91154,0.45337,0.21838,0.85222,0.0008218,0.0008218,0.0008218
20,5140.04,0.5421,0.30375,0.92742,0.99639,0.99415,0.99317,0.91282,0.44892,0.2115,0.84614,0.0008119,0.0008119,0.0008119
21,5256.34,0.54795,0.30845,0.93104,0.9962,0.99415,0.99282,0.91083,0.4466,0.21119,0.84739,0.000802,0.000802,0.000802
22,5372.08,0.53847,0.29852,0.92449,0.99897,0.99415,0.99339,0.91554,0.44577,0.2083,0.84933,0.0007921,0.0007921,0.0007921
23,5488.75,0.53499,0.2957,0.92494,0.99614,0.99415,0.99114,0.91644,0.43796,0.20027,0.84339,0.0007822,0.0007822,0.0007822
24,5604.37,0.53632,0.29793,0.92694,0.99666,0.99415,0.99301,0.91728,0.44228,0.20112,0.84628,0.0007723,0.0007723,0.0007723
25,5720.72,0.5337,0.29274,0.92606,0.99939,0.99415,0.99305,0.9135,0.44044,0.19864,0.84246,0.0007624,0.0007624,0.0007624
26,5836.39,0.53331,0.29206,0.92365,0.99594,0.99415,0.9919,0.91426,0.43731,0.20258,0.84016,0.0007525,0.0007525,0.0007525
27,5952.39,0.52479,0.28794,0.92227,0.99642,0.99415,0.99337,0.91405,0.4375,0.2011,0.84223,0.0007426,0.0007426,0.0007426
28,6068.45,0.51935,0.28211,0.91747,0.99557,0.99415,0.99185,0.91822,0.43117,0.19779,0.83894,0.0007327,0.0007327,0.0007327
29,6184.38,0.52895,0.28574,0.92215,0.99624,0.99415,0.99218,0.91724,0.43211,0.19691,0.84291,0.0007228,0.0007228,0.0007228
30,6300.9,0.52541,0.28194,0.91934,0.99612,0.99415,0.99337,0.91858,0.43352,0.19392,0.84079,0.0007129,0.0007129,0.0007129
31,6416.27,0.51826,0.2755,0.91588,0.99681,0.99415,0.99338,0.91511,0.43409,0.19951,0.84308,0.000703,0.000703,0.000703
32,6532.31,0.51678,0.27902,0.91208,0.99789,0.99415,0.99295,0.91728,0.43669,0.1953,0.84112,0.0006931,0.0006931,0.0006931
33,6648.24,0.51615,0.27234,0.91921,0.99667,0.99364,0.99326,0.9204,0.42404,0.18727,0.83814,0.0006832,0.0006832,0.0006832
34,7028.3,0.5111,0.26964,0.91218,0.99934,0.99415,0.99343,0.92367,0.42071,0.18109,0.83607,0.0006733,0.0006733,0.0006733
35,7144.29,0.51244,0.26838,0.91181,0.99793,0.99415,0.99327,0.92352,0.42666,0.18711,0.83823,0.0006634,0.0006634,0.0006634
36,7260.45,0.50284,0.26944,0.91063,0.99899,0.99415,0.99331,0.92327,0.42719,0.18867,0.83906,0.0006535,0.0006535,0.0006535
37,7376.35,0.51068,0.27253,0.91401,0.99912,0.99415,0.99332,0.91897,0.43055,0.1911,0.84011,0.0006436,0.0006436,0.0006436
38,7492.52,0.50563,0.26658,0.91199,0.99915,0.99415,0.99325,0.91893,0.4251,0.18132,0.83764,0.0006337,0.0006337,0.0006337
39,7607.99,0.50221,0.26273,0.91066,0.99685,0.99415,0.99327,0.92137,0.42085,0.18145,0.83533,0.0006238,0.0006238,0.0006238
40,7724.32,0.50583,0.26534,0.91269,0.99651,0.99415,0.99285,0.9258,0.42066,0.182,0.8365,0.0006139,0.0006139,0.0006139
41,7840.6,0.49453,0.25693,0.90804,0.99898,0.99415,0.99333,0.92345,0.4153,0.18057,0.83478,0.000604,0.000604,0.000604
42,7956.63,0.49981,0.26047,0.91006,0.99922,0.99415,0.99324,0.92737,0.41274,0.17886,0.83382,0.0005941,0.0005941,0.0005941
43,8073.11,0.49701,0.25966,0.9128,0.99934,0.99415,0.99332,0.9277,0.41554,0.17182,0.83326,0.0005842,0.0005842,0.0005842
44,8190.02,0.50097,0.25576,0.90691,0.99789,0.99415,0.9932,0.92362,0.41683,0.17339,0.83388,0.0005743,0.0005743,0.0005743
45,8306.34,0.49846,0.25719,0.90739,0.9965,0.99415,0.99316,0.92526,0.41888,0.1758,0.83549,0.0005644,0.0005644,0.0005644
46,8422.45,0.49187,0.25296,0.90648,0.99877,0.99415,0.99324,0.92563,0.41624,0.17235,0.83505,0.0005545,0.0005545,0.0005545
47,8538.54,0.4929,0.25301,0.90828,0.99931,0.99415,0.99344,0.92417,0.4193,0.17888,0.83676,0.0005446,0.0005446,0.0005446
48,8654.35,0.48982,0.25497,0.90801,0.99937,0.99384,0.99344,0.92622,0.41608,0.1764,0.83584,0.0005347,0.0005347,0.0005347
49,8770.33,0.48465,0.24549,0.90333,0.99928,0.99415,0.99338,0.92751,0.41244,0.17382,0.83516,0.0005248,0.0005248,0.0005248
50,8886.29,0.48112,0.24586,0.9047,0.99921,0.99415,0.9934,0.92527,0.40923,0.16876,0.83328,0.0005149,0.0005149,0.0005149
51,9002.5,0.47851,0.24254,0.89919,0.99945,0.99415,0.99338,0.92656,0.41108,0.17076,0.83296,0.000505,0.000505,0.000505
52,9118.61,0.48606,0.24684,0.90209,0.99946,0.99415,0.99327,0.92797,0.409,0.16995,0.83232,0.0004951,0.0004951,0.0004951
53,9234.81,0.48286,0.24541,0.90144,0.99845,0.99415,0.99342,0.93067,0.40951,0.17053,0.83209,0.0004852,0.0004852,0.0004852
54,9351.18,0.48264,0.24394,0.90217,0.99947,0.99415,0.99335,0.92928,0.41177,0.16961,0.83163,0.0004753,0.0004753,0.0004753
55,9468.09,0.48124,0.24514,0.90208,0.99943,0.99415,0.99322,0.93308,0.40784,0.16642,0.83101,0.0004654,0.0004654,0.0004654
56,9584.71,0.48011,0.23995,0.89872,0.99788,0.99415,0.99326,0.92831,0.40901,0.16856,0.83205,0.0004555,0.0004555,0.0004555
57,9701.88,0.47522,0.2406,0.89911,0.99932,0.99415,0.99339,0.93055,0.40801,0.16282,0.83119,0.0004456,0.0004456,0.0004456
58,9818.53,0.47045,0.2362,0.89709,0.99934,0.99415,0.99343,0.9308,0.4072,0.16524,0.83168,0.0004357,0.0004357,0.0004357
59,9935.39,0.46818,0.23394,0.89493,0.9994,0.99415,0.99333,0.92955,0.40766,0.16193,0.83042,0.0004258,0.0004258,0.0004258
