epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1404,0.81575,1.80018,1.11336,0.98421,0.98387,0.98938,0.86085,0.56229,0.58824,0.93013,0.000332188,0.000332188,0.000332188
2,61.0588,0.69922,0.86445,1.01009,0.91459,0.93359,0.98359,0.84829,0.56736,0.61996,0.93205,0.000658933,0.000658933,0.000658933
3,88.7044,0.69762,0.65851,1.0037,0.97653,0.9292,0.98885,0.85153,0.58564,0.4912,0.92734,0.000979077,0.000979077,0.000979077
4,116.331,0.67785,0.53955,0.98939,0.97088,0.97917,0.988,0.85285,0.56998,0.36423,0.90821,0.0009703,0.0009703,0.0009703
5,143.785,0.65013,0.49464,0.98281,0.95216,0.96718,0.98061,0.87255,0.50875,0.3634,0.89016,0.0009604,0.0009604,0.0009604
6,171.076,0.63671,0.44268,0.97187,0.99023,0.98375,0.98968,0.89142,0.49077,0.28505,0.87118,0.0009505,0.0009505,0.0009505
7,198.714,0.62547,0.41695,0.96887,0.9916,0.99217,0.98963,0.88259,0.50708,0.27157,0.88535,0.0009406,0.0009406,0.0009406
8,226.095,0.61406,0.39542,0.96144,0.9901,0.98923,0.99043,0.89346,0.48296,0.25449,0.86939,0.0009307,0.0009307,0.0009307
9,253.717,0.60697,0.38089,0.96226,0.99353,0.99217,0.9922,0.89171,0.49619,0.26617,0.88238,0.0009208,0.0009208,0.0009208
10,281.016,0.59967,0.37529,0.95676,0.99542,0.99217,0.99197,0.90352,0.47501,0.24738,0.866,0.0009109,0.0009109,0.0009109
11,308.419,0.58592,0.35463,0.95097,0.99408,0.99077,0.9919,0.90119,0.47863,0.24664,0.87636,0.000901,0.000901,0.000901
12,335.637,0.58818,0.35353,0.95334,0.9947,0.99217,0.99104,0.89423,0.48915,0.2372,0.87259,0.0008911,0.0008911,0.0008911
13,363.376,0.57969,0.34343,0.94994,0.99807,0.99181,0.99228,0.89967,0.47681,0.23602,0.87101,0.0008812,0.0008812,0.0008812
14,390.763,0.57614,0.33665,0.94791,0.991,0.99168,0.9919,0.89954,0.47078,0.23035,0.8677,0.0008713,0.0008713,0.0008713
15,418.106,0.57135,0.33439,0.94538,0.99748,0.99217,0.99215,0.90086,0.48467,0.23189,0.86979,0.0008614,0.0008614,0.0008614
16,445.502,0.56685,0.32924,0.94004,0.99607,0.99157,0.99186,0.90683,0.46558,0.22151,0.86135,0.0008515,0.0008515,0.0008515
17,472.894,0.56298,0.3232,0.94325,0.9934,0.99217,0.99123,0.9098,0.46787,0.22569,0.86298,0.0008416,0.0008416,0.0008416
18,500.64,0.55769,0.31462,0.9397,0.99552,0.99217,0.99069,0.90608,0.46051,0.21795,0.86068,0.0008317,0.0008317,0.0008317
19,527.963,0.56041,0.31822,0.9413,0.99524,0.99217,0.99153,0.90645,0.46099,0.22503,0.86201,0.0008218,0.0008218,0.0008218
20,555.443,0.55198,0.3087,0.93899,0.99812,0.99217,0.99228,0.90704,0.46605,0.21631,0.86037,0.0008119,0.0008119,0.0008119
21,582.886,0.5545,0.30945,0.93702,0.99811,0.99217,0.99194,0.90684,0.45923,0.2126,0.85865,0.000802,0.000802,0.000802
22,610.215,0.55125,0.30285,0.93825,0.99684,0.99217,0.99238,0.90854,0.45141,0.21434,0.85936,0.0007921,0.0007921,0.0007921
23,637.8,0.54147,0.30125,0.93361,0.9938,0.99217,0.99125,0.90952,0.45495,0.21284,0.85623,0.0007822,0.0007822,0.0007822
24,665.339,0.53443,0.29198,0.92747,0.99758,0.99155,0.99235,0.9122,0.44803,0.2015,0.85422,0.0007723,0.0007723,0.0007723
25,692.633,0.53305,0.29279,0.9282,0.99754,0.99217,0.99219,0.91567,0.43922,0.20596,0.85361,0.0007624,0.0007624,0.0007624
26,720.03,0.53542,0.29831,0.92888,0.99338,0.99047,0.987,0.90438,0.44252,0.20997,0.85427,0.0007525,0.0007525,0.0007525
27,747.334,0.53354,0.2933,0.92808,0.99554,0.99215,0.99257,0.91532,0.4463,0.20249,0.85368,0.0007426,0.0007426,0.0007426
28,775.141,0.53095,0.28413,0.92423,0.99787,0.99217,0.99217,0.91049,0.44166,0.20404,0.85531,0.0007327,0.0007327,0.0007327
29,802.38,0.53507,0.29138,0.93102,0.99852,0.99217,0.99203,0.91522,0.44382,0.19888,0.85194,0.0007228,0.0007228,0.0007228
30,829.809,0.52549,0.28591,0.92171,0.99775,0.9921,0.99253,0.91912,0.44429,0.20298,0.85533,0.0007129,0.0007129,0.0007129
31,857.026,0.53201,0.28291,0.92972,0.99893,0.99217,0.99255,0.91447,0.44571,0.19641,0.85385,0.000703,0.000703,0.000703
32,884.323,0.52354,0.27785,0.92502,0.999,0.99217,0.99246,0.91545,0.44233,0.19865,0.85659,0.0006931,0.0006931,0.0006931
33,912.132,0.51495,0.27777,0.92031,0.99624,0.99217,0.99255,0.91765,0.44198,0.19447,0.85271,0.0006832,0.0006832,0.0006832
34,939.501,0.51584,0.2737,0.91956,0.99634,0.99217,0.99257,0.91769,0.44014,0.19529,0.85355,0.0006733,0.0006733,0.0006733
35,966.922,0.52041,0.27446,0.92385,0.99491,0.99217,0.9914,0.91261,0.44391,0.19702,0.85281,0.0006634,0.0006634,0.0006634
